AU,TI,SO,citations WOS,citations all data bases,UT,PM
"GELFAND, IM; KROB, D; LASCOUX, A; LECLERC, B; RETAKH, VS; THIBON, JY",NONCOMMUTATIVE SYMMETRICAL FUNCTIONS,ADVANCES IN MATHEMATICS,270,272,WOS:A1995QW16400002,
"Lutwak, E",The Brunn-Minkowski-Firey theory .2. Affine and geominimal surface areas,ADVANCES IN MATHEMATICS,269,315,WOS:A1996UB99600002,
"Constantin, A; Strauss, W",Exact steady periodic water waves with vorticity,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,268,268,WOS:000189192700003,
"Dasgupta, S; Gupta, A",An elementary proof of a theorem of Johnson and Lindenstrauss,RANDOM STRUCTURES & ALGORITHMS,266,271,WOS:000180105100005,
"Grafakos, L; Torres, RH",Multilinear Calderon-Zygmund theory,ADVANCES IN MATHEMATICS,266,313,WOS:000173861800005,
"Ambrosio, L",Transport equation and Cauchy problem for BV vector fields,INVENTIONES MATHEMATICAE,265,267,WOS:000224613900001,
"Eliashberg, Y; Givental, A; Hofer, H",Introduction to symplectic field theory,GEOMETRIC AND FUNCTIONAL ANALYSIS,265,266,WOS:000168273600005,
"Azorero, JPG; Alonso, IP",Hardy inequalities and some critical elliptic and parabolic problems,JOURNAL OF DIFFERENTIAL EQUATIONS,265,272,WOS:000072989900009,
"Witten, E",On flux quantization in M-theory and the effective action,JOURNAL OF GEOMETRY AND PHYSICS,265,266,WOS:A1997WU24200001,
"GOMPF, RE",A NEW CONSTRUCTION OF SYMPLECTIC-MANIFOLDS,ANNALS OF MATHEMATICS,265,265,WOS:A1995TE15100004,
"BREZIS, H; NIRENBERG, L",H-1 VERSUS C1 LOCAL MINIMIZERS,COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE I-MATHEMATIQUE,265,269,WOS:A1993LZ11400007,
"Friedgut, E","Sharp thresholds of graph properties, and the k-sat problem",JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,264,270,WOS:000081784100005,
"Galbraith, SD; Harrison, K; Soldera, D",Implementing the Tate pairing,ALGORITHMIC NUMBER THEORY,263,275,WOS:000180068300026,
"Noor, MA",New approximation schemes for general variational inequalities,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,263,276,WOS:000165135400014,
"Wu, JH",Symmetric functional differential equations and neural networks with memory,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,263,283,WOS:000076994600004,
"Johansson, K",On fluctuations of eigenvalues of random hermitian matrices,DUKE MATHEMATICAL JOURNAL,261,264,WOS:000071509100008,
"Ozsvath, P; Szabo, Z",Holomorphic disks and knot invariants,ADVANCES IN MATHEMATICS,258,259,WOS:000222270200002,
"Constantin, A; Kolev, B",Geodesic flow on the diffeomorphism group of the circle,COMMENTARII MATHEMATICI HELVETICI,258,263,WOS:000186461800008,
"Lutwak, E; Yang, D; Zhang, GY",L-p affine isoperimetric inequalities,JOURNAL OF DIFFERENTIAL GEOMETRY,258,296,WOS:000172034100004,
"Casazza, PG",The art of frame theory,TAIWANESE JOURNAL OF MATHEMATICS,258,316,WOS:000088090000001,
"Xin, ZP",Blowup of smooth solutions to the compressible Navier-Stokes equation with compact density,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,257,267,WOS:000072066400001,
"Cheeger, J; Colding, TH",On the structure of spaces with Ricci curvature bounded below. I,JOURNAL OF DIFFERENTIAL GEOMETRY,255,257,WOS:000071266500002,
"FARIA, T; MAGALHAES, LT",NORMAL FORMS FOR RETARDED FUNCTIONAL-DIFFERENTIAL EQUATIONS WITH PARAMETERS AND APPLICATIONS TO HOPF-BIFURCATION,JOURNAL OF DIFFERENTIAL EQUATIONS,255,262,WOS:A1995TC34800002,
"Taubes, CH",THE SEIBERG-WITTEN INVARIANTS AND SYMPLECTIC FORMS,MATHEMATICAL RESEARCH LETTERS,255,255,WOS:000209444200015,
"Freedman, MH; Kitaev, A; Larsen, MJ; Wang, ZH",Topological quantum computation,BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,254,257,WOS:000180136200004,
"Chenciner, A; Montgomery, R",A remarkable periodic solution of the three-body problem in the case of equal masses,ANNALS OF MATHEMATICS,254,269,WOS:000167476400007,
"Alon, N",Combinatorial Nullstellensatz,COMBINATORICS PROBABILITY & COMPUTING,254,260,WOS:000080072000003,
"Etingof, P; Ginzburg, V","Symplectic reflection algebras, Calogero-Moser space, and deformed Harish-Chandra homomorphism",INVENTIONES MATHEMATICAE,252,254,WOS:000174121800001,
"Shioji, N; Takahashi, W",Strong convergence of approximated sequences for nonexpansive mappings in Banach spaces,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,251,278,WOS:000071507400027,
"Schrijver, A",A combinatorial algorithm minimizing submodular functions in strongly polynomial time,JOURNAL OF COMBINATORIAL THEORY SERIES B,249,249,WOS:000165450800009,
"vandenDries, L; Miller, C",Geometric categories and o-minimal structures,DUKE MATHEMATICAL JOURNAL,249,249,WOS:A1996VB00400007,
"Bauschke, HH",The approximation of fixed points of compositions of nonexpansive mappings in Hilbert space,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,248,265,WOS:A1996VC68400009,
"CHIARENZA, F; FRASCA, M; LONGO, P","W2,P-SOLVABILITY OF THE DIRICHLET PROBLEM FOR NONDIVERGENCE ELLIPTIC-EQUATIONS WITH VMO COEFFICIENTS",TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,248,258,WOS:A1993KU58200022,
"Ruan, SG; Wang, WD",Dynamical behavior of an epidemic model with a nonlinear incidence rate,JOURNAL OF DIFFERENTIAL EQUATIONS,247,275,WOS:000180987800006,
"BIRMAN, JS; LIN, XS",KNOT POLYNOMIALS AND VASSILIEV INVARIANTS,INVENTIONES MATHEMATICAE,247,248,WOS:A1993KH29700001,
"Belohlavek, R",Concept lattices and order in fuzzy logic,ANNALS OF PURE AND APPLIED LOGIC,245,265,WOS:000221905500009,
"Kustermans, J; Vaes, S",Locally compact quantum groups,ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE,245,246,WOS:000166344200004,
"Arveson, W",Subalgebras of C*-algebras III: Multivariable operator theory,ACTA MATHEMATICA,245,248,WOS:000078541100001,
"Greenleaf, A; Lassas, M; Uhlmann, G",On nonuniqueness for Calderon's inverse problem,MATHEMATICAL RESEARCH LETTERS,244,244,WOS:000188002600011,
"Ioffe, AD",Metric regularity and subdifferential calculus,RUSSIAN MATHEMATICAL SURVEYS,243,245,WOS:000165519900003,
"Penrose, MD",On k-connectivity for a geometric random graph,RANDOM STRUCTURES & ALGORITHMS,243,250,WOS:000082024800002,
"Rudnick, Z; Sarnak, P",Zeros of principal L-functions and random matrix theory,DUKE MATHEMATICAL JOURNAL,243,243,WOS:A1996UK63600003,
"Ball, JM",Global attractors for damped semilinear wave equations,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,242,251,WOS:000187071700004,
"Bohm, G; Nill, F; Szlachanyi, K",Weak Hopf algebras I. Integral theory and C*-structure,JOURNAL OF ALGEBRA,242,297,WOS:000084146000001,
"DEJEU, MFE",THE DUNKL TRANSFORM,INVENTIONES MATHEMATICAE,242,246,WOS:A1993LK49600007,
"Donaldson, SK","Scalar curvature and projective embeddings, I",JOURNAL OF DIFFERENTIAL GEOMETRY,241,243,WOS:000177510100003,
"CRAIG, W; WAYNE, CE",NEWTONS METHOD AND PERIODIC-SOLUTIONS OF NONLINEAR-WAVE EQUATIONS,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,241,244,WOS:A1993MJ99600001,
"KLAINERMAN, S; MACHEDON, M",SPACE-TIME ESTIMATES FOR NULL FORMS AND THE LOCAL EXISTENCE THEOREM,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,241,246,WOS:A1993LY38500001,
"Donaldson, SK",Scalar curvature and stability of toric varieties,JOURNAL OF DIFFERENTIAL GEOMETRY,239,240,WOS:000184322300005,
"Gadjiev, AD; Orhan, C",Some approximation theorems via statistical convergence,ROCKY MOUNTAIN JOURNAL OF MATHEMATICS,239,243,WOS:000176555000008,
"Bridges, TJ",Multi-symplectic structures and wave propagation,MATHEMATICAL PROCEEDINGS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY,239,287,WOS:A1997WH72100013,
"Ricceri, B",On a three critical points theorem,ARCHIV DER MATHEMATIK,235,250,WOS:000089820000010,
"Robertson, N; Sanders, D; Seymour, P; Thomas, R",The four-colour theorem,JOURNAL OF COMBINATORIAL THEORY SERIES B,235,245,WOS:A1997WU24100002,
"WEISS, G",TRANSFER-FUNCTIONS OF REGULAR LINEAR-SYSTEMS .1.,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,235,239,WOS:A1994NE14000020,
"Feng, W; Webb, JRL",Solvability of m-point boundary value problems with nonlinear growth,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,234,286,WOS:A1997XP25400010,
"Liu, JQ; Wang, YQ; Wang, ZQ","Soliton solutions for quasilinear Schrodinger equations, II",JOURNAL OF DIFFERENTIAL EQUATIONS,233,247,WOS:000180672100014,
"Rodriguez-Blanco, G",On the Cauchy problem for the Camassa-Holm equation,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,233,238,WOS:000170856600001,
"Neeman, A",The grothendieck duality theorem via Bousfield's techniques and Brown Representability,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,233,234,WOS:A1996TP41100008,
"LeDret, H; Raoult, A",The nonlinear membrane model as variational limit of nonlinear three-dimensional elasticity,JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,233,233,WOS:A1995TM56300002,
"Amenta, N; Choi, SH; Kolluri, RK","The power crust, unions of balls, and the medial axis transform",COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,232,246,WOS:000170327000004,
"Poliquin, RA; Rockafellar, RT; Thibault, L",Local differentiability of distance functions,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,232,244,WOS:000089180800015,
"Seidel, P; Thomas, R",Braid group actions on derived categories of coherent sheaves,DUKE MATHEMATICAL JOURNAL,231,231,WOS:000169023700002,
"Simon, B",The classical moment problem as a self-adjoint finite difference operator,ADVANCES IN MATHEMATICS,231,237,WOS:000074710700002,
"Goresky, M; Kottwitz, R; MacPherson, R","Equivariant cohomology, Koszul duality, and the localization theorem",INVENTIONES MATHEMATICAE,230,231,WOS:000073143200002,
"Liu, ZJ; Weinstein, A; Xu, P",Manin triples for lie bialgebroids,JOURNAL OF DIFFERENTIAL GEOMETRY,230,240,WOS:A1997YA22600005,
"Hovey, M; Shipley, B; Smith, J",Symmetric spectra,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,229,229,WOS:000083319100007,
"Bobkov, SG; Gotze, F",Exponential integrability and transportation cost related to logarithmic sobolev inequalities,JOURNAL OF FUNCTIONAL ANALYSIS,229,241,WOS:000079587400001,
"NI, WM; WEI, JC",ON THE LOCATION AND PROFILE OF SPIKE-LAYER SOLUTIONS TO SINGULARLY PERTURBED SEMILINEAR DIRICHLET PROBLEMS,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,229,231,WOS:A1995RV05100003,
"ELLIOTT, GA",ON THE CLASSIFICATION OF C-ASTERISK-ALGEBRAS OF REAL RANK ZERO,JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,229,236,WOS:A1993MG51000008,
"Borcherds, RE",Automorphic forms with singularities on Grassmannians,INVENTIONES MATHEMATICAE,228,228,WOS:000074188600003,
"CONNES, A; MOSCOVICI, H",THE LOCAL INDEX FORMULA IN NONCOMMUTATIVE GEOMETRY,GEOMETRIC AND FUNCTIONAL ANALYSIS,228,230,WOS:A1995RK79400004,
"ALTHOFER, I; DAS, G; DOBKIN, D; JOSEPH, D; SOARES, J",ON SPARSE SPANNERS OF WEIGHTED GRAPHS,DISCRETE & COMPUTATIONAL GEOMETRY,228,229,WOS:A1993KD82900006,
"Johnson, WP",The curious history of Faa di Bruno's formula,AMERICAN MATHEMATICAL MONTHLY,227,230,WOS:000174972300001,
"Delbaen, F; Schachermayer, W",The fundamental theorem of asset pricing for unbounded stochastic processes,MATHEMATISCHE ANNALEN,227,236,WOS:000076746500002,
"Kumjian, A; Pask, D; Raeburn, I; Renault, J","Graphs, groupoids, and Cuntz-Krieger algebras",JOURNAL OF FUNCTIONAL ANALYSIS,227,228,WOS:A1997WL42000011,
"DEBOOR, C; DEVORE, RA; RON, A",THE STRUCTURE OF FINITELY GENERATED SHIFT-INVARIANT SPACES IN L(2)(R(D)),JOURNAL OF FUNCTIONAL ANALYSIS,227,227,WOS:A1994MR78700003,
"LODAY, JL; PIRASHVILI, T",UNIVERSAL ENVELOPING-ALGEBRAS OF LEIBNIZ ALGEBRAS AND (CO)HOMOLOGY,MATHEMATISCHE ANNALEN,227,237,WOS:A1993LE68700008,
"delPino, M; Felmer, PL",Semi-classical states for nonlinear Schrodinger equations,JOURNAL OF FUNCTIONAL ANALYSIS,226,226,WOS:A1997XW86500011,
"Kronheimer, PB; Mrowka, TS",THE GENUS OF EMBEDDED SURFACES IN THE PROJECTIVE PLANE,MATHEMATICAL RESEARCH LETTERS,226,227,WOS:000209444200014,
"BRESAR, M","COMMUTING TRACES OF BIADDITIVE MAPPINGS, COMMUTATIVITY-PRESERVING MAPPINGS AND LIE MAPPINGS",TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,226,245,WOS:A1993KL75400004,
"Bridgeland, T; King, A; Reid, M",The McKay correspondence as an equivalence of derived categories,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,225,225,WOS:000167876600002,
"Manasevich, R; Mawhin, J",Periodic solutions for nonlinear systems with p-Laplacian-like operators,JOURNAL OF DIFFERENTIAL EQUATIONS,225,237,WOS:000073735700007,
"Bartsch, T; Li, SJ",Critical point theory for asymptotically quadratic functionals and applications to problems with resonance,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,225,238,WOS:A1997VV68800001,
"FABRE, C; PUEL, JP; ZUAZUA, E",APPROXIMATE CONTROLLABILITY OF THE SEMILINEAR HEAT-EQUATION,PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,225,233,WOS:A1995QK66700003,
"Graber, T; Pandharipande, R",Localization of virtual classes,INVENTIONES MATHEMATICAE,224,233,WOS:000078265700009,
"Mordukhovich, BS; Shao, YH",Nonsmooth sequential analysis in Asplund spaces,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,224,228,WOS:A1996UH10200001,
"ARTIN, M; ZHANG, JJ",NONCOMMUTATIVE PROJECTIVE SCHEMES,ADVANCES IN MATHEMATICS,224,227,WOS:A1994PX01700004,
"Bondal, A; Van den Bergh, M",GENERATORS AND REPRESENTABILITY OF FUNCTORS IN COMMUTATIVE AND NONCOMMUTATIVE GEOMETRY,MOSCOW MATHEMATICAL JOURNAL,223,228,WOS:000208594100003,
"Ginibre, J; Tsutsumi, Y; Velo, G",On the Cauchy problem for the Zakharov system,JOURNAL OF FUNCTIONAL ANALYSIS,223,229,WOS:000071644100004,
"PEREZ, C",END-POINT ESTIMATES FOR COMMUTATORS OF SINGULAR INTEGRAL-OPERATORS,JOURNAL OF FUNCTIONAL ANALYSIS,223,285,WOS:A1995QL17100006,
"KASHIWARA, M; NAKASHIMA, T",CRYSTAL GRAPHS FOR REPRESENTATIONS OF THE Q-ANALOG OF CLASSICAL LIE-ALGEBRAS,JOURNAL OF ALGEBRA,223,226,WOS:A1994NM09700004,
"Yu, GL",The coarse Baum-Connes conjecture for spaces which admit a uniform embedding into Hilbert space,INVENTIONES MATHEMATICAE,221,229,WOS:000084315600006,
"LI, YY",PRESCRIBING SCALAR CURVATURE ON S-N AND RELATED PROBLEMS .1.,JOURNAL OF DIFFERENTIAL EQUATIONS,221,225,WOS:A1995RT83900004,
"ROBBIN, J; SALAMON, D",THE MASLOV INDEX FOR PATHS,TOPOLOGY,221,223,WOS:A1993ME17000007,
"Soshnikov, A",Determinantal random point fields,RUSSIAN MATHEMATICAL SURVEYS,220,223,WOS:000168165100002,
"SHEN, ZW",L(P) ESTIMATES FOR SCHRODINGER-OPERATORS WITH CERTAIN POTENTIALS,ANNALES DE L INSTITUT FOURIER,220,245,WOS:A1995RM23800007,
"Kunstmann, PC; Weis, L","Maximal L(p)-regularity for parabolic equations, Fourier multiplier theorems and H infinity-functional calculus",FUNCTIONAL ANALYTIC METHODS FOR EVOLUTION EQUATIONS,219,219,WOS:000244328200002,
"Goncharov, AB","Multiple polylogarithms, cyclotomy and modular complexes",MATHEMATICAL RESEARCH LETTERS,219,219,WOS:000076957900007,
"Masur, HA; Minsky, YN",Geometry of the complex of curves II: Hierarchical structure,GEOMETRIC AND FUNCTIONAL ANALYSIS,218,220,WOS:000165645900010,
"D'Aprile, T; Mugnai, D",Solitary waves for nonlinear Klein-Gordon-Maxwell and Schrodinger-Maxwell equations,PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,216,217,WOS:000225263700005,
"Bahouri, H; Gerard, P",High frequency approximation of solutions to critical nonlinear wave equations,AMERICAN JOURNAL OF MATHEMATICS,216,216,WOS:000078401900007,
"SCHWEIZER, B; SMITAL, J",MEASURES OF CHAOS AND A SPECTRAL DECOMPOSITION OF DYNAMICAL-SYSTEMS ON THE INTERVAL,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,216,241,WOS:A1994PC54000012,
"Jain, K",A factor 2 approximation algorithm for the generalized Steiner network problem,COMBINATORICA,215,218,WOS:000167018100004,
"Zalcman, L",Normal families: New perspectives,BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,215,259,WOS:000075928600002,
"Christofides, PD; Daoutidis, P",Finite-dimensional control of parabolic PDE systems using approximate inertial manifolds,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,215,217,WOS:000071508100003,
"Talagrand, M",New concentration inequalities in product spaces,INVENTIONES MATHEMATICAE,215,221,WOS:A1996VT46000004,
"Poppenberg, M; Schmitt, K; Wang, ZQ",On the existence of soliton solutions to quasilinear Schrodinger equations,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,214,227,WOS:000175607800004,
"Colin, M; Jeanjean, L",Solutions for a quasilinear Schrodinger equation: a dual approach,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,212,219,WOS:000188297900004,
"Azorero, JPG; Alonso, IP; Manfredi, JJ",Sobolev versus Holder local minimizers and global multiplicity for some quasilinear elliptic equations,COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,212,216,WOS:000088907200006,
"Tucker, W",The Lorenz attractor exists,COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE I-MATHEMATIQUE,212,217,WOS:000081684900019,
"Chattopadhyay, J; Arino, O",A predator-prey model with disease in the prey,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,212,235,WOS:000079388400007,
"Lin, CS",A classification of solutions of a conformally invariant fourth order equation in R-n,COMMENTARII MATHEMATICI HELVETICI,212,216,WOS:000074317600002,
"Rege, MB; Chhawchharia, S",Armendariz rings,PROCEEDINGS OF THE JAPAN ACADEMY SERIES A-MATHEMATICAL SCIENCES,212,255,WOS:A1997WH91600005,
"BETHUEL, F; BREZIS, H; HELEIN, F",ASYMPTOTICS FOR THE MINIMIZATION OF A GINZBURG-LANDAU FUNCTIONAL,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,212,221,WOS:A1993MG14100001,
"SCHOCHET, S",FAST SINGULAR LIMITS OF HYPERBOLIC PDES,JOURNAL OF DIFFERENTIAL EQUATIONS,211,213,WOS:A1994PU91300005,
"Thieme, HR; Zhao, XQ",Asymptotic speeds of spread and traveling waves for integral equations and delayed reaction-diffusion models,JOURNAL OF DIFFERENTIAL EQUATIONS,210,216,WOS:000186784000007,
"Denef, J; Loeser, F",Germs of arcs on singular algebraic varieties and motivic integration,INVENTIONES MATHEMATICAE,210,212,WOS:000077841400008,
"FARIA, T; MAGALHAES, LT",NORMAL FORMS FOR RETARDED FUNCTIONAL-DIFFERENTIAL EQUATIONS AND APPLICATIONS TO BOGDANOV-TAKENS SINGULARITY,JOURNAL OF DIFFERENTIAL EQUATIONS,210,214,WOS:A1995TC34800003,
"BERCOVICI, H; VOICULESCU, D",FREE CONVOLUTION OF MEASURES WITH UNBOUNDED SUPPORT,INDIANA UNIVERSITY MATHEMATICS JOURNAL,210,210,WOS:A1993MU69400004,
"KIGAMI, J",HARMONIC CALCULUS ON PCF SELF-SIMILAR SETS,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,210,215,WOS:A1993KL75400014,
"Cioranescu, D; Damlamian, A; Griso, G",Periodic unfolding and homogenization,COMPTES RENDUS MATHEMATIQUE,209,210,WOS:000177356900020,
"Aamri, M; El Moutawakil, D",Some new common fixed point theorems under strict contractive conditions,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,209,211,WOS:000176812100012,
"Galaktionov, VA; Vazquez, JL",The problem of blow-up in nonlinear parabolic equations,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,209,222,WOS:000175899400008,
"KENIG, CE; PONCE, G; VEGA, L",THE CAUCHY-PROBLEM FOR THE KORTEWEG-DEVRIES EQUATION IN SOBOLEV SPACES OF NEGATIVE INDEXES,DUKE MATHEMATICAL JOURNAL,209,219,WOS:A1993LQ82900001,
"Torres, PJ",Existence of one-signed periodic solutions of some second-order differential equations via a Krasnoselskii fixed point theorem,JOURNAL OF DIFFERENTIAL EQUATIONS,208,240,WOS:000182441700013,
"Lions, JL; Maday, Y; Turinici, G","A ""parareal"" in time discretization of PDE's",COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE I-MATHEMATIQUE,208,211,WOS:000169025300015,
"Liu, JQ; Wang, YQ; Wang, ZQ",Solutions for quasilinear Schrodinger equations via the Nehari method,COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,207,210,WOS:000221659800009,
"Zelditch, S",Szego kernels and a theorem of Tian,INTERNATIONAL MATHEMATICS RESEARCH NOTICES,207,208,WOS:000073347900002,
"Benassi, A; Jaffard, S; Roux, D",Elliptic gaussian random processes,REVISTA MATEMATICA IBEROAMERICANA,207,210,WOS:A1997XT27700002,
"Bourgain, J; Katz, N; Tao, T","A sum-product estimate in finite fields, and applications",GEOMETRIC AND FUNCTIONAL ANALYSIS,206,213,WOS:000220937700002,
"Ozsvath, P; Szabo, Z",Absolutely graded Floer homologies and intersection forms for four-manifolds with boundary,ADVANCES IN MATHEMATICS,205,205,WOS:000181251800001,
"NAKAI, E","HARDY-LITTLEWOOD MAXIMAL OPERATOR, SINGULAR INTEGRAL-OPERATORS AND THE RIESZ-POTENTIALS ON GENERALIZED MORREY SPACES",MATHEMATISCHE NACHRICHTEN,205,218,WOS:A1994NK41900007,
"Fulton, W","Eigenvalues, invariant factors, highest weights, and Schubert calculus",BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,204,208,WOS:000087290500001,
"Kumjian, A; Pask, D; Raeburn, I",Cuntz-Krieger algebras of directed graphs,PACIFIC JOURNAL OF MATHEMATICS,204,207,WOS:000074206200008,
"Petz, D",Monotone metrics on matrix spaces,LINEAR ALGEBRA AND ITS APPLICATIONS,204,209,WOS:A1996VD69800007,
"Chow, SN; Mallet-Paret, J; Shen, WX",Traveling waves in lattice dynamical systems,JOURNAL OF DIFFERENTIAL EQUATIONS,203,210,WOS:000076433200003,
"Pittel, B; Spencer, J; Wormald, N",Sudden emergence of a giant k-core in a random graph,JOURNAL OF COMBINATORIAL THEORY SERIES B,203,203,WOS:A1996UH82100007,
"Arosio, A; Panizzi, S",On the well-posedness of the Kirchhoff string,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,202,206,WOS:A1996TT20500019,
"CHEMIN, JY; LERNER, N",FLOW OF NON-LIPSCHITZ VECTOR-FIELDS AND NAVIER-STOKES EQUATIONS,JOURNAL OF DIFFERENTIAL EQUATIONS,202,208,WOS:A1995RX84400004,
